Mob
MINOTAUR1
VAMPIRE1
VAMPIRE2
VAMPIRE2
BLUE
PURPLE
VAMPIRE3
DARK
MINOTAUR2
VAMPIRE2
VAMPIRE2
VAMPIRE2
VAMPIRE2
MINOTAUR2
MINOTAUR2
DARK
VAMPIRE2
MINOTAUR2
PURPLE
SCORPION
VAMPIRE3
VAMPIRE3
MINOTAUR2
MINOTAUR2
MINOTAUR2
GOBLIN
DARK
MINOTAUR2
MINOTAUR3
MINOTAUR3
VAMPIRE2
VAMPIRE3
VAMPIRE3
MINOTAUR2
MINOTAUR2
DARK
BLUE
DARK
MINOTAUR2
PURPLE
SCORPION
MINOTAUR2
VAMPIRE2
VAMPIRE3
DARK
PURPLE
PURPLW
SCORPION
VAMPIRE3
BLUE
SCORPION
MINOTAUR3
PURPLE
