Mob
GOBLIN
PURPLE
GOBLIN
GOBLIN
DARK
DARK
DARK
GOBLIN
SLIME
DARK
DARK
SLIME
SLIME
GOBLIN
VAMPIRE1
MINOTAUR3
DARK
GOBLIN
GOBLIN
SLIME
DARK
SCORPION
SLIME
SLIME
SLIME
SLIME
SLIME
SLIME
MINOTAUR1
MINOTAUR1
MINOTAUR1
GOBLIN
GOBLIN
MINOTAUR2
DARK
DARK
VAMPIRE1
SLIME
PURPLE
DARK
VAMPIRE3
MINOTAUR3
SLIME
SLIME
VAMPIRE2
VAMPIRE1
VAMPIRE3
MINOTAUR1
SLIME
SLIME
GOBLIN
DARK
GOBLIN
GOBLIN
SLIME
GOBLIN
GOBLIN
DARK
SLIME
GOBLIN
VAMPIRE2
MINOTAUR3
DARK
SLIME
PURPLE
SLIME
GOBLIN
GOBLIN
SLIME
SLIME
GOBLIN
